symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
TFC	TRUIST FINANCIAL CORP	89832Q109	BKP7287	0.0010275745859272697	-	14610287	USD
CTAS	CINTAS CORP	172908105	2197137	0.0010181584017490886	-	3934512	USD
OKE	ONEOK INC	682680103	2130109	0.0010088017508744574	-	7294652	USD
O	REALTY INCOME CORP	756109104	2724193	0.0010016775988829568	-	10701384	USD
DASH	DOORDASH INC   A	25809K105	BN13P03	9.989886780059419e-4	-	4348653	USD
CTVA	CORTEVA INC	22052L104	BK73B42	9.966668791674862e-4	-	7782085	USD
AZO	AUTOZONE INC	053332102	2065955	9.911501263718395e-4	-	191791	USD
AJG	ARTHUR J GALLAGHER + CO	363576109	2359506	9.884909721465998e-4	-	2983160	USD
TGT	TARGET CORP	87612E106	2259101	9.715537472865837e-4	-	5239430	USD
HOOD	ROBINHOOD MARKETS INC   A	770700102	BP0TQN6	9.699562703079881e-4	-	9148302	USD
CIEN	CIENA CORP	171779309	B1FLZ21	9.683389488948759e-4	-	1630272	USD
TRGP	TARGA RESOURCES CORP	87612G101	B55PZY3	9.54408155864142e-4	-	2487981	USD
ALL	ALLSTATE CORP	020002101	2019952	9.543883114296253e-4	-	3008595	USD
FAST	FASTENAL CO	311900104	2332262	9.47799959170076e-4	-	13351224	USD
ABNB	AIRBNB INC CLASS A	009066101	BMGYYH4	9.470557928756993e-4	-	4901880	USD
MPWR	MONOLITHIC POWER SYSTEMS INC	609839105	B01Z7J1	9.44803449558052e-4	-	564814	USD
D	DOMINION ENERGY INC	25746U109	2542049	9.370442756620165e-4	-	9907192	USD
APO	APOLLO GLOBAL MANAGEMENT INC	03769M106	BN44JF6	9.207718393583104e-4	-	5401456	USD
FTNT	FORTINET INC	34959E109	B5B2106	9.19402573376657e-4	-	7353559	USD
MNST	MONSTER BEVERAGE CORP	61174X109	BZ07BW4	9.190850624243897e-4	-	8290469	USD
AFL	AFLAC INC	001055102	2026361	9.066128353306343e-4	-	5401310	USD
ETR	ENTERGY CORP	29364G103	2317087	9.017311044395225e-4	-	5245496	USD
ADSK	AUTODESK INC	052769106	2065159	8.985163060478147e-4	-	2453142	USD
LITE	LUMENTUM HOLDINGS INC	55024U109	BYM9ZP2	8.903602434614449e-4	-	828090	USD
EXC	EXELON CORP	30161N101	2670519	8.896259993843265e-4	-	11861866	USD
ZTS	ZOETIS INC	98978V103	B95WG16	8.832857025562361e-4	-	4883935	USD
CAH	CARDINAL HEALTH INC	14149Y108	2175672	8.802098152061453e-4	-	2722629	USD
NXPI	NXP SEMICONDUCTORS NV	N6596X109	B505PN7	8.791382157422427e-4	-	2918900	USD
AME	AMETEK INC	031100100	2089212	8.783345161443157e-4	-	2678164	USD
DELL	DELL TECHNOLOGIES  C	24703L202	BHKD3S6	8.63322201432421e-4	-	3437994	USD
FIX	COMFORT SYSTEMS USA INC	199908104	2036047	8.629550793938616e-4	-	409024	USD
KEYS	KEYSIGHT TECHNOLOGIES IN	49338L103	BQZJ0Q9	8.573490266428897e-4	-	1984533	USD
VST	VISTRA CORP	92840M102	BZ8VJQ8	8.522986180583859e-4	-	3705657	USD
GWW	WW GRAINGER INC	384802104	2380863	8.496096971813709e-4	-	509086	USD
XEL	XCEL ENERGY INC	98389B100	2614807	8.359666484511294e-4	-	6878126	USD
OXY	OCCIDENTAL PETROLEUM CORP	674599105	2655408	8.286837409834951e-4	-	8332953	USD
EW	EDWARDS LIFESCIENCES CORP	28176E108	2567116	8.27096186222158e-4	-	6750798	USD
TER	TERADYNE INC	880770102	2884183	8.264214754485897e-4	-	1822032	USD
EA	ELECTRONIC ARTS INC	285512109	2310194	8.16687780318141e-4	-	2618338	USD
URI	UNITED RENTALS INC	911363109	2134781	8.123616935934972e-4	-	728791	USD
